Aerial                         @2.2.6          aqua/Aerial
p5.28-test-json                @0.110.0        perl/p5-test-json
p5.30-test-json                @0.110.0        perl/p5-test-json
p5.32-test-json                @0.110.0        perl/p5-test-json
p5-test-kit                    @2.150.0        perl/p5-test-kit
p5.28-test-kit                 @2.150.0        perl/p5-test-kit
p5.30-test-kit                 @2.150.0        perl/p5-test-kit
p5.32-test-kit                 @2.150.0        perl/p5-test-kit
p5-test-leaktrace              @0.170.0        perl/p5-test-leaktrace
p5.28-test-leaktrace           @0.170.0        perl/p5-test-leaktrace
p5.30-test-leaktrace           @0.170.0        perl/p5-test-leaktrace
p5.32-test-leaktrace           @0.170.0        perl/p5-test-leaktrace
p5-test-lectrotest             @0.500.100      perl/p5-test-lectrotest
p5.28-test-lectrotest          @0.500.100      perl/p5-test-lectrotest
p5.30-test-lectrotest          @0.500.100      perl/p5-test-lectrotest
p5.32-test-lectrotest          @0.500.100      perl/p5-test-lectrotest
p5-test-lib                    @0.2.0          perl/p5-test-lib
p5.28-test-lib                 @0.2.0          perl/p5-test-lib
p5.30-test-lib                 @0.2.0          perl/p5-test-lib
p5.32-test-lib                 @0.2.0          perl/p5-test-lib
p5-test-longstring             @0.170.0        perl/p5-test-longstring
p5.28-test-longstring          @0.170.0        perl/p5-test-longstring
p5.30-test-longstring          @0.170.0        perl/p5-test-longstring
p5.32-test-longstring          @0.170.0        perl/p5-test-longstring
p5-test-lwp-useragent          @0.34.0         perl/p5-test-lwp-useragent
p5.28-test-lwp-useragent       @0.34.0         perl/p5-test-lwp-useragent
p5.30-test-lwp-useragent       @0.34.0         perl/p5-test-lwp-useragent
p5.32-test-lwp-useragent       @0.34.0         perl/p5-test-lwp-useragent
p5-test-manifest               @2.21.0         perl/p5-test-manifest
p5.28-test-manifest            @2.21.0         perl/p5-test-manifest
p5.30-test-manifest            @2.21.0         perl/p5-test-manifest
p5.32-test-manifest            @2.21.0         perl/p5-test-manifest
p5-test-memory-cycle           @1.60.0         perl/p5-test-memory-cycle
p5.28-test-memory-cycle        @1.60.0         perl/p5-test-memory-cycle
p5.30-test-memory-cycle        @1.60.0         perl/p5-test-memory-cycle
p5.32-test-memory-cycle        @1.60.0         perl/p5-test-memory-cycle
p5-test-metrics-any            @0.10.0         perl/p5-test-metrics-any
p5.28-test-metrics-any         @0.10.0         perl/p5-test-metrics-any
p5.30-test-metrics-any         @0.10.0         perl/p5-test-metrics-any
p5.32-test-metrics-any         @0.10.0         perl/p5-test-metrics-any
p5-test-minimumversion         @0.101.82       perl/p5-test-minimumversion
p5.28-test-minimumversion      @0.101.82       perl/p5-test-minimumversion
p5.30-test-minimumversion      @0.101.82       perl/p5-test-minimumversion
p5.32-test-minimumversion      @0.101.82       perl/p5-test-minimumversion
p5-test-mock-guard             @0.100.0        perl/p5-test-mock-guard
p5.28-test-mock-guard          @0.100.0        perl/p5-test-mock-guard
p5.30-test-mock-guard          @0.100.0        perl/p5-test-mock-guard
p5.32-test-mock-guard          @0.100.0        perl/p5-test-mock-guard
p5-test-mock-lwp               @0.80.0         perl/p5-test-mock-lwp
p5.28-test-mock-lwp            @0.80.0         perl/p5-test-mock-lwp
p5.30-test-mock-lwp            @0.80.0         perl/p5-test-mock-lwp
p5.32-test-mock-lwp            @0.80.0         perl/p5-test-mock-lwp
p5-test-mockmodule             @0.175.0        perl/p5-test-mockmodule
p5.28-test-mockmodule          @0.175.0        perl/p5-test-mockmodule
p5.30-test-mockmodule          @0.175.0        perl/p5-test-mockmodule
p5.32-test-mockmodule          @0.175.0        perl/p5-test-mockmodule
p5-test-mockobject             @1.202.1.220    perl/p5-test-mockobject
p5.28-test-mockobject          @1.202.1.220    perl/p5-test-mockobject
p5.30-test-mockobject          @1.202.1.220    perl/p5-test-mockobject
p5.32-test-mockobject          @1.202.1.220    perl/p5-test-mockobject
p5-test-mockrandom             @1.10.0         perl/p5-test-mockrandom
p5.28-test-mockrandom          @1.10.0         perl/p5-test-mockrandom
p5.30-test-mockrandom          @1.10.0         perl/p5-test-mockrandom
p5.32-test-mockrandom          @1.10.0         perl/p5-test-mockrandom
p5-test-mocktime               @0.170.0        perl/p5-test-mocktime
p5.28-test-mocktime            @0.170.0        perl/p5-test-mocktime
p5.30-test-mocktime            @0.170.0        perl/p5-test-mocktime
p5.32-test-mocktime            @0.170.0        perl/p5-test-mocktime
p5-test-mojibake               @1.300.0        perl/p5-test-mojibake
p5.28-test-mojibake            @1.300.0        perl/p5-test-mojibake
p5.30-test-mojibake            @1.300.0        perl/p5-test-mojibake
p5.32-test-mojibake            @1.300.0        perl/p5-test-mojibake
p5-test-moose-more             @0.50.0         perl/p5-test-moose-more
p5.28-test-moose-more          @0.50.0         perl/p5-test-moose-more
p5.30-test-moose-more          @0.50.0         perl/p5-test-moose-more
p5.32-test-moose-more          @0.50.0         perl/p5-test-moose-more
p5-test-more-utf8              @0.50.0         perl/p5-test-more-utf8
p5.28-test-more-utf8           @0.50.0         perl/p5-test-more-utf8
p5.30-test-more-utf8           @0.50.0         perl/p5-test-more-utf8
p5.32-test-more-utf8           @0.50.0         perl/p5-test-more-utf8
p5-test-most                   @0.370.0        perl/p5-test-most
p5.28-test-most                @0.370.0        perl/p5-test-most
p5.30-test-most                @0.370.0        perl/p5-test-most
p5.32-test-most                @0.370.0        perl/p5-test-most
p5-test-needs                  @0.2.9          perl/p5-test-needs
p5.28-test-needs               @0.2.9          perl/p5-test-needs
p5.30-test-needs               @0.2.9          perl/p5-test-needs
p5.32-test-needs               @0.2.9          perl/p5-test-needs
p5-test-nicedump               @1.0.1          perl/p5-test-nicedump
p5.28-test-nicedump            @1.0.1          perl/p5-test-nicedump
p5.30-test-nicedump            @1.0.1          perl/p5-test-nicedump
p5.32-test-nicedump            @1.0.1          perl/p5-test-nicedump
p5-test-notabs                 @2.20.0         perl/p5-test-notabs
p5.28-test-notabs              @2.20.0         perl/p5-test-notabs
p5.30-test-notabs              @2.20.0         perl/p5-test-notabs
p5.32-test-notabs              @2.20.0         perl/p5-test-notabs
p5-test-nowarnings             @1.60.0         perl/p5-test-nowarnings
p5.28-test-nowarnings          @1.60.0         perl/p5-test-nowarnings
p5.30-test-nowarnings          @1.60.0         perl/p5-test-nowarnings
p5.32-test-nowarnings          @1.60.0         perl/p5-test-nowarnings
p5-test-number-delta           @1.60.0         perl/p5-test-number-delta
p5.28-test-number-delta        @1.60.0         perl/p5-test-number-delta
p5.30-test-number-delta        @1.60.0         perl/p5-test-number-delta
p5.32-test-number-delta        @1.60.0         perl/p5-test-number-delta
p5-test-object                 @0.80.0         perl/p5-test-object
p5.28-test-object              @0.80.0         perl/p5-test-object
p5.30-test-object              @0.80.0         perl/p5-test-object
p5.32-test-object              @0.80.0         perl/p5-test-object
p5-test-output                 @1.33.0         perl/p5-test-output
p5.28-test-output              @1.33.0         perl/p5-test-output
p5.30-test-output              @1.33.0         perl/p5-test-output
p5.32-test-output              @1.33.0         perl/p5-test-output
p5-test-perl-critic            @1.40.0         perl/p5-test-perl-critic
p5.28-test-perl-critic         @1.40.0         perl/p5-test-perl-critic
p5.30-test-perl-critic         @1.40.0         perl/p5-test-perl-critic
p5.32-test-perl-critic         @1.40.0         perl/p5-test-perl-critic
p5-test-perltidy               @20200930       perl/p5-test-perltidy
p5.28-test-perltidy            @20200930       perl/p5-test-perltidy
p5.30-test-perltidy            @20200930       perl/p5-test-perltidy
p5.32-test-perltidy            @20200930       perl/p5-test-perltidy
p5-test-pod                    @1.520.0        perl/p5-test-pod
p5.28-test-pod                 @1.520.0        perl/p5-test-pod
p5.30-test-pod                 @1.520.0        perl/p5-test-pod
p5.32-test-pod                 @1.520.0        perl/p5-test-pod
p5-test-pod-coverage           @1.100.0        perl/p5-test-pod-coverage
p5.28-test-pod-coverage        @1.100.0        perl/p5-test-pod-coverage
p5.30-test-pod-coverage        @1.100.0        perl/p5-test-pod-coverage
p5.32-test-pod-coverage        @1.100.0        perl/p5-test-pod-coverage
p5-test-portability-files      @0.100.0        perl/p5-test-portability-files
p5.28-test-portability-files   @0.100.0        perl/p5-test-portability-files
p5.30-test-portability-files   @0.100.0        perl/p5-test-portability-files
p5.32-test-portability-files   @0.100.0        perl/p5-test-portability-files
p5-test-refcount               @0.100.0        perl/p5-test-refcount
p5.28-test-refcount            @0.100.0        perl/p5-test-refcount
p5.30-test-refcount            @0.100.0        perl/p5-test-refcount
p5.32-test-refcount            @0.100.0        perl/p5-test-refcount
p5-test-regexp                 @2017040101     perl/p5-test-regexp
p5.28-test-regexp              @2017040101     perl/p5-test-regexp
p5.30-test-regexp              @2017040101     perl/p5-test-regexp
p5.32-test-regexp              @2017040101     perl/p5-test-regexp
p5-test-requires               @0.110.0        perl/p5-test-requires
p5.28-test-requires            @0.110.0        perl/p5-test-requires
p5.30-test-requires            @0.110.0        perl/p5-test-requires
p5.32-test-requires            @0.110.0        perl/p5-test-requires
p5-test-requiresinternet       @0.50.0         perl/p5-test-requiresinternet
p5.28-test-requiresinternet    @0.50.0         perl/p5-test-requiresinternet
p5.30-test-requiresinternet    @0.50.0         perl/p5-test-requiresinternet
p5.32-test-requiresinternet    @0.50.0         perl/p5-test-requiresinternet
p5-test-script                 @1.260.0        perl/p5-test-script
p5.28-test-script              @1.260.0        perl/p5-test-script
p5.30-test-script              @1.260.0        perl/p5-test-script
p5.32-test-script              @1.260.0        perl/p5-test-script
p5-test-sharedfork             @0.350.0        perl/p5-test-sharedfork
p5.28-test-sharedfork          @0.350.0        perl/p5-test-sharedfork
p5.30-test-sharedfork          @0.350.0        perl/p5-test-sharedfork
p5.32-test-sharedfork          @0.350.0        perl/p5-test-sharedfork
p5-test-simple                 @1.302.183      perl/p5-test-simple
p5.28-test-simple              @1.302.183      perl/p5-test-simple
p5.30-test-simple              @1.302.183      perl/p5-test-simple
p5.32-test-simple              @1.302.183      perl/p5-test-simple
p5-test-snapshot               @0.60.0         perl/p5-test-snapshot
p5.28-test-snapshot            @0.60.0         perl/p5-test-snapshot
p5.30-test-snapshot            @0.60.0         perl/p5-test-snapshot
p5.32-test-snapshot            @0.60.0         perl/p5-test-snapshot
p5-test-spec                   @0.540.0        perl/p5-test-spec
p5.28-test-spec                @0.540.0        perl/p5-test-spec
p5.30-test-spec                @0.540.0        perl/p5-test-spec
p5.32-test-spec                @0.540.0        perl/p5-test-spec
p5-test-spelling               @0.250.0        perl/p5-test-spelling
p5.28-test-spelling            @0.250.0        perl/p5-test-spelling
p5.30-test-spelling            @0.250.0        perl/p5-test-spelling
p5.32-test-spelling            @0.250.0        perl/p5-test-spelling
p5-test-strict                 @0.520.0        perl/p5-test-strict
p5.28-test-strict              @0.520.0        perl/p5-test-strict
p5.30-test-strict              @0.520.0        perl/p5-test-strict
p5.32-test-strict              @0.520.0        perl/p5-test-strict
p5-test-subcalls               @1.100.0        perl/p5-test-subcalls
p5.28-test-subcalls            @1.100.0        perl/p5-test-subcalls
p5.30-test-subcalls            @1.100.0        perl/p5-test-subcalls
p5.32-test-subcalls            @1.100.0        perl/p5-test-subcalls
p5-test-sys-info               @0.230.0        perl/p5-test-sys-info
p5.28-test-sys-info            @0.230.0        perl/p5-test-sys-info
p5.30-test-sys-info            @0.230.0        perl/p5-test-sys-info
p5.32-test-sys-info            @0.230.0        perl/p5-test-sys-info
p5-test-taint                  @1.80.0         perl/p5-test-taint
p5.28-test-taint               @1.80.0         perl/p5-test-taint
p5.30-test-taint               @1.80.0         perl/p5-test-taint
p5.32-test-taint               @1.80.0         perl/p5-test-taint
p5-test-tcp                    @2.220.0        perl/p5-test-tcp
p5.28-test-tcp                 @2.220.0        perl/p5-test-tcp
p5.30-test-tcp                 @2.220.0        perl/p5-test-tcp
p5.32-test-tcp                 @2.220.0        perl/p5-test-tcp
p5-test-tempdir-tiny           @0.18.0         perl/p5-test-tempdir-tiny
p5.28-test-tempdir-tiny        @0.18.0         perl/p5-test-tempdir-tiny
p5.30-test-tempdir-tiny        @0.18.0         perl/p5-test-tempdir-tiny
p5.32-test-tempdir-tiny        @0.18.0         perl/p5-test-tempdir-tiny
p5-test-time                   @0.80.0         perl/p5-test-time
p5.28-test-time                @0.80.0         perl/p5-test-time
p5.30-test-time                @0.80.0         perl/p5-test-time
p5.32-test-time                @0.80.0         perl/p5-test-time
p5-test-timer                  @2.110.0        perl/p5-test-timer
p5.28-test-timer               @2.110.0        perl/p5-test-timer
p5.30-test-timer               @2.110.0        perl/p5-test-timer
p5.32-test-timer               @2.110.0        perl/p5-test-timer
p5-test-toolbox                @0.400.0        perl/p5-test-toolbox
p5.28-test-toolbox             @0.400.0        perl/p5-test-toolbox
p5.30-test-toolbox             @0.400.0        perl/p5-test-toolbox
p5.32-test-toolbox             @0.400.0        perl/p5-test-toolbox
p5-test-trailingspace          @0.60.0         perl/p5-test-trailingspace
p5.28-test-trailingspace       @0.60.0         perl/p5-test-trailingspace
p5.30-test-trailingspace       @0.60.0         perl/p5-test-trailingspace
p5.32-test-trailingspace       @0.60.0         perl/p5-test-trailingspace
p5-test-trap                   @0.3.4          perl/p5-test-trap
p5.28-test-trap                @0.3.4          perl/p5-test-trap
p5.30-test-trap                @0.3.4          perl/p5-test-trap
p5.32-test-trap                @0.3.4          perl/p5-test-trap
p5-test-useallmodules          @0.170.0        perl/p5-test-useallmodules
p5.28-test-useallmodules       @0.170.0        perl/p5-test-useallmodules
p5.30-test-useallmodules       @0.170.0        perl/p5-test-useallmodules
p5.32-test-useallmodules       @0.170.0        perl/p5-test-useallmodules
p5-test-utf8                   @1.20.0         perl/p5-test-utf8
p5.28-test-utf8                @1.20.0         perl/p5-test-utf8
p5.30-test-utf8                @1.20.0         perl/p5-test-utf8
p5.32-test-utf8                @1.20.0         perl/p5-test-utf8
p5-test-version                @2.90.0         perl/p5-test-version
p5.28-test-version             @2.90.0         perl/p5-test-version
p5.30-test-version             @2.90.0         perl/p5-test-version
p5.32-test-version             @2.90.0         perl/p5-test-version
p5-test-warn                   @0.360.0        perl/p5-test-warn
p5.28-test-warn                @0.360.0        perl/p5-test-warn
p5.30-test-warn                @0.360.0        perl/p5-test-warn
p5.32-test-warn                @0.360.0        perl/p5-test-warn
p5-test-warnings               @0.31.0         perl/p5-test-warnings
p5.28-test-warnings            @0.31.0         perl/p5-test-warnings
p5.30-test-warnings            @0.31.0         perl/p5-test-warnings
p5.32-test-warnings            @0.31.0         perl/p5-test-warnings
p5-test-weaken                 @3.22.0         perl/p5-test-weaken
p5.28-test-weaken              @3.22.0         perl/p5-test-weaken
p5.30-test-weaken              @3.22.0         perl/p5-test-weaken
p5.32-test-weaken              @3.22.0         perl/p5-test-weaken
p5-test-without-module         @0.200.0        perl/p5-test-without-module
p5.28-test-without-module      @0.200.0        perl/p5-test-without-module
p5.30-test-without-module      @0.200.0        perl/p5-test-without-module
p5.32-test-without-module      @0.200.0        perl/p5-test-without-module
p5-test-writevariants          @0.14.0         perl/p5-test-writevariants
p5.28-test-writevariants       @0.14.0         perl/p5-test-writevariants
p5.30-test-writevariants       @0.14.0         perl/p5-test-writevariants
p5.32-test-writevariants       @0.14.0         perl/p5-test-writevariants
p5-test-www-mechanize          @1.540.0        perl/p5-test-www-mechanize
p5.28-test-www-mechanize       @1.540.0        perl/p5-test-www-mechanize
p5.30-test-www-mechanize       @1.540.0        perl/p5-test-www-mechanize
p5.32-test-www-mechanize       @1.540.0        perl/p5-test-www-mechanize
p5-test-www-mechanize-catalyst @0.620.0        perl/p5-test-www-mechanize-catalyst
p5.28-test-www-mechanize-catalyst @0.620.0        perl/p5-test-www-mechanize-catalyst
p5.30-test-www-mechanize-catalyst @0.620.0        perl/p5-test-www-mechanize-catalyst
p5.32-test-www-mechanize-catalyst @0.620.0        perl/p5-test-www-mechanize-catalyst
p5-test-www-mechanize-psgi     @0.390.0        perl/p5-test-www-mechanize-psgi
p5.28-test-www-mechanize-psgi  @0.390.0        perl/p5-test-www-mechanize-psgi
p5.30-test-www-mechanize-psgi  @0.390.0        perl/p5-test-www-mechanize-psgi
p5.32-test-www-mechanize-psgi  @0.390.0        perl/p5-test-www-mechanize-psgi
p5-test-www-selenium           @1.360.0        perl/p5-test-www-selenium
p5.28-test-www-selenium        @1.360.0        perl/p5-test-www-selenium
p5.30-test-www-selenium        @1.360.0        perl/p5-test-www-selenium
p5.32-test-www-selenium        @1.360.0        perl/p5-test-www-selenium
p5-test-xml                    @0.80.0         perl/p5-test-xml
p5.28-test-xml                 @0.80.0         perl/p5-test-xml
p5.30-test-xml                 @0.80.0         perl/p5-test-xml
p5.32-test-xml                 @0.80.0         perl/p5-test-xml
p5-test-yaml                   @1.70.0         perl/p5-test-yaml
p5.28-test-yaml                @1.70.0         perl/p5-test-yaml
p5.30-test-yaml                @1.70.0         perl/p5-test-yaml
p5.32-test-yaml                @1.70.0         perl/p5-test-yaml
p5-test-yaml-valid             @0.40.0         perl/p5-test-yaml-valid
p5.28-test-yaml-valid          @0.40.0         perl/p5-test-yaml-valid
p5.30-test-yaml-valid          @0.40.0         perl/p5-test-yaml-valid
p5.32-test-yaml-valid          @0.40.0         perl/p5-test-yaml-valid
p5-test2-harness               @1.0.42         perl/p5-test2-harness
p5.28-test2-harness            @1.0.42         perl/p5-test2-harness
p5.30-test2-harness            @1.0.42         perl/p5-test2-harness
p5.32-test2-harness            @1.0.42         perl/p5-test2-harness
p5-test2-plugin-cover          @0.0.9          perl/p5-test2-plugin-cover
p5.28-test2-plugin-cover       @0.0.9          perl/p5-test2-plugin-cover
p5.30-test2-plugin-cover       @0.0.9          perl/p5-test2-plugin-cover
p5.32-test2-plugin-cover       @0.0.9          perl/p5-test2-plugin-cover
p5-test2-plugin-dbiprofile     @0.2.3          perl/p5-test2-plugin-dbiprofile
p5.28-test2-plugin-dbiprofile  @0.2.3          perl/p5-test2-plugin-dbiprofile
p5.30-test2-plugin-dbiprofile  @0.2.3          perl/p5-test2-plugin-dbiprofile
p5.32-test2-plugin-dbiprofile  @0.2.3          perl/p5-test2-plugin-dbiprofile
p5-test2-plugin-ioevents       @0.1.1          perl/p5-test2-plugin-ioevents
p5.28-test2-plugin-ioevents    @0.1.1          perl/p5-test2-plugin-ioevents
p5.30-test2-plugin-ioevents    @0.1.1          perl/p5-test2-plugin-ioevents
p5.32-test2-plugin-ioevents    @0.1.1          perl/p5-test2-plugin-ioevents
p5-test2-plugin-memusage       @0.2.3          perl/p5-test2-plugin-memusage
p5.28-test2-plugin-memusage    @0.2.3          perl/p5-test2-plugin-memusage
p5.30-test2-plugin-memusage    @0.2.3          perl/p5-test2-plugin-memusage
p5.32-test2-plugin-memusage    @0.2.3          perl/p5-test2-plugin-memusage
p5-test2-plugin-nowarnings     @0.90.0         perl/p5-test2-plugin-nowarnings
p5.28-test2-plugin-nowarnings  @0.90.0         perl/p5-test2-plugin-nowarnings
p5.30-test2-plugin-nowarnings  @0.90.0         perl/p5-test2-plugin-nowarnings
p5.32-test2-plugin-nowarnings  @0.90.0         perl/p5-test2-plugin-nowarnings
p5-test2-plugin-uuid           @0.2.1          perl/p5-test2-plugin-uuid
p5.28-test2-plugin-uuid        @0.2.1          perl/p5-test2-plugin-uuid
p5.30-test2-plugin-uuid        @0.2.1          perl/p5-test2-plugin-uuid
p5.32-test2-plugin-uuid        @0.2.1          perl/p5-test2-plugin-uuid
p5-test2-suite                 @0.0.139        perl/p5-test2-suite
p5.28-test2-suite              @0.0.139        perl/p5-test2-suite
p5.30-test2-suite              @0.0.139        perl/p5-test2-suite
p5.32-test2-suite              @0.0.139        perl/p5-test2-suite
p5-test2-tools-explain         @0.20.0         perl/p5-test2-tools-explain
p5.28-test2-tools-explain      @0.20.0         perl/p5-test2-tools-explain
p5.30-test2-tools-explain      @0.20.0         perl/p5-test2-tools-explain
p5.32-test2-tools-explain      @0.20.0         perl/p5-test2-tools-explain
p5-tex-encode                  @2.9.0          perl/p5-tex-encode
p5.28-tex-encode               @2.9.0          perl/p5-tex-encode
p5.30-tex-encode               @2.9.0          perl/p5-tex-encode
p5.32-tex-encode               @2.9.0          perl/p5-tex-encode
p5-text-aligner                @0.160.0        perl/p5-text-aligner
p5.28-text-aligner             @0.160.0        perl/p5-text-aligner
p5.30-text-aligner             @0.160.0        perl/p5-text-aligner
p5.32-text-aligner             @0.160.0        perl/p5-text-aligner
p5-text-aspell                 @0.90.0         perl/p5-text-aspell
p5.28-text-aspell              @0.90.0         perl/p5-text-aspell
p5.30-text-aspell              @0.90.0         perl/p5-text-aspell
p5.32-text-aspell              @0.90.0         perl/p5-text-aspell
p5-text-autoformat             @1.750.0        perl/p5-text-autoformat
p5.28-text-autoformat          @1.750.0        perl/p5-text-autoformat
p5.30-text-autoformat          @1.750.0        perl/p5-text-autoformat
p5.32-text-autoformat          @1.750.0        perl/p5-text-autoformat
p5-text-balanced               @2.40.0         perl/p5-text-balanced
p5.28-text-balanced            @2.40.0         perl/p5-text-balanced
p5.30-text-balanced            @2.40.0         perl/p5-text-balanced
p5.32-text-balanced            @2.40.0         perl/p5-text-balanced
p5-text-bibtex                 @0.880.0        perl/p5-text-bibtex
p5.28-text-bibtex              @0.880.0        perl/p5-text-bibtex
p5.30-text-bibtex              @0.880.0        perl/p5-text-bibtex
p5.32-text-bibtex              @0.880.0        perl/p5-text-bibtex
p5-text-chasen                 @1.40.0         perl/p5-text-chasen
p5.28-text-chasen              @1.40.0         perl/p5-text-chasen
p5.30-text-chasen              @1.40.0         perl/p5-text-chasen
p5.32-text-chasen              @1.40.0         perl/p5-text-chasen
p5-text-csv                    @2.10.0         perl/p5-text-csv
p5.28-text-csv                 @2.10.0         perl/p5-text-csv
p5.30-text-csv                 @2.10.0         perl/p5-text-csv
p5.32-text-csv                 @2.10.0         perl/p5-text-csv
p5-text-csv_xs                 @1.450.0        perl/p5-text-csv_xs
p5.28-text-csv_xs              @1.450.0        perl/p5-text-csv_xs
p5.30-text-csv_xs              @1.450.0        perl/p5-text-csv_xs
p5.32-text-csv_xs              @1.450.0        perl/p5-text-csv_xs
p5-text-diff                   @1.450.0        perl/p5-text-diff
p5.28-text-diff                @1.450.0        perl/p5-text-diff
p5.30-text-diff                @1.450.0        perl/p5-text-diff
p5.32-text-diff                @1.450.0        perl/p5-text-diff
p5-text-flow                   @0.10.0         perl/p5-text-flow
p5.28-text-flow                @0.10.0         perl/p5-text-flow
p5.30-text-flow                @0.10.0         perl/p5-text-flow
p5.32-text-flow                @0.10.0         perl/p5-text-flow
p5-text-german                 @0.60.0         perl/p5-text-german
p5.28-text-german              @0.60.0         perl/p5-text-german
p5.30-text-german              @0.60.0         perl/p5-text-german
p5.32-text-german              @0.60.0         perl/p5-text-german
p5-text-glob                   @0.110.0        perl/p5-text-glob
p5.28-text-glob                @0.110.0        perl/p5-text-glob
p5.30-text-glob                @0.110.0        perl/p5-text-glob
p5.32-text-glob                @0.110.0        perl/p5-text-glob
p5-text-iconv                  @1.700.0        perl/p5-text-iconv
p5.28-text-iconv               @1.700.0        perl/p5-text-iconv
p5.30-text-iconv               @1.700.0        perl/p5-text-iconv
p5.32-text-iconv               @1.700.0        perl/p5-text-iconv
p5-text-kakasi                 @2.40.0         perl/p5-text-kakasi
p5.28-text-kakasi              @2.40.0         perl/p5-text-kakasi
p5.30-text-kakasi              @2.40.0         perl/p5-text-kakasi
p5.32-text-kakasi              @2.40.0         perl/p5-text-kakasi
p5-text-levenshteinxs          @0.30.0         perl/p5-text-levenshteinxs
p5.28-text-levenshteinxs       @0.30.0         perl/p5-text-levenshteinxs
p5.30-text-levenshteinxs       @0.30.0         perl/p5-text-levenshteinxs
p5.32-text-levenshteinxs       @0.30.0         perl/p5-text-levenshteinxs
p5-text-markdown               @1.0.31         perl/p5-text-markdown
p5.28-text-markdown            @1.0.31         perl/p5-text-markdown
p5.30-text-markdown            @1.0.31         perl/p5-text-markdown
p5.32-text-markdown            @1.0.31         perl/p5-text-markdown
p5-text-multimarkdown          @1.0.35         perl/p5-text-multimarkdown
p5.28-text-multimarkdown       @1.0.35         perl/p5-text-multimarkdown
p5.30-text-multimarkdown       @1.0.35         perl/p5-text-multimarkdown
p5.32-text-multimarkdown       @1.0.35         perl/p5-text-multimarkdown
p5-text-parsewords             @3.300.0        perl/p5-text-parsewords
p5.28-text-parsewords          @3.300.0        perl/p5-text-parsewords
p5.30-text-parsewords          @3.300.0        perl/p5-text-parsewords
p5.32-text-parsewords          @3.300.0        perl/p5-text-parsewords
p5-text-patch                  @1.800.0        perl/p5-text-patch
p5.28-text-patch               @1.800.0        perl/p5-text-patch
p5.30-text-patch               @1.800.0        perl/p5-text-patch
p5.32-text-patch               @1.800.0        perl/p5-text-patch
p5-text-pdf                    @0.310.0        perl/p5-text-pdf
p5.28-text-pdf                 @0.310.0        perl/p5-text-pdf
p5.30-text-pdf                 @0.310.0        perl/p5-text-pdf
p5.32-text-pdf                 @0.310.0        perl/p5-text-pdf
p5-text-quoted                 @2.100.0        perl/p5-text-quoted
p5.28-text-quoted              @2.100.0        perl/p5-text-quoted
p5.30-text-quoted              @2.100.0        perl/p5-text-quoted
p5.32-text-quoted              @2.100.0        perl/p5-text-quoted
p5-text-recordparser           @1.6.5          perl/p5-text-recordparser
p5.28-text-recordparser        @1.6.5          perl/p5-text-recordparser
p5.30-text-recordparser        @1.6.5          perl/p5-text-recordparser
p5.32-text-recordparser        @1.6.5          perl/p5-text-recordparser
p5-text-reform                 @1.200.0        perl/p5-text-reform
p5.28-text-reform              @1.200.0        perl/p5-text-reform
p5.30-text-reform              @1.200.0        perl/p5-text-reform
p5.32-text-reform              @1.200.0        perl/p5-text-reform
p5-text-roman                  @3.500.0        perl/p5-text-roman
p5.28-text-roman               @3.500.0        perl/p5-text-roman
p5.30-text-roman               @3.500.0        perl/p5-text-roman
p5.32-text-roman               @3.500.0        perl/p5-text-roman
p5-text-simpletable            @2.70.0         perl/p5-text-simpletable
p5.28-text-simpletable         @2.70.0         perl/p5-text-simpletable
p5.30-text-simpletable         @2.70.0         perl/p5-text-simpletable
p5.32-text-simpletable         @2.70.0         perl/p5-text-simpletable
p5-text-simpletable-autowidth  @0.90.0         perl/p5-text-simpletable-autowidth
p5.28-text-simpletable-autowidth @0.90.0         perl/p5-text-simpletable-autowidth
p5.30-text-simpletable-autowidth @0.90.0         perl/p5-text-simpletable-autowidth
p5.32-text-simpletable-autowidth @0.90.0         perl/p5-text-simpletable-autowidth
p5-text-soundex                @3.50.0         perl/p5-text-soundex
p5.28-text-soundex             @3.50.0         perl/p5-text-soundex
p5.30-text-soundex             @3.50.0         perl/p5-text-soundex
p5.32-text-soundex             @3.50.0         perl/p5-text-soundex
p5-text-spellchecker           @0.140.0        perl/p5-text-spellchecker
p5.28-text-spellchecker        @0.140.0        perl/p5-text-spellchecker
p5.30-text-spellchecker        @0.140.0        perl/p5-text-spellchecker
p5.32-text-spellchecker        @0.140.0        perl/p5-text-spellchecker
p5-text-table                  @1.134.0        perl/p5-text-table
p5.28-text-table               @1.134.0        perl/p5-text-table
p5.30-text-table               @1.134.0        perl/p5-text-table
p5.32-text-table               @1.134.0        perl/p5-text-table
p5-text-table-manifold         @1.20.0         perl/p5-text-table-manifold
p5.28-text-table-manifold      @1.20.0         perl/p5-text-table-manifold
p5.30-text-table-manifold      @1.20.0         perl/p5-text-table-manifold
p5.32-text-table-manifold      @1.20.0         perl/p5-text-table-manifold
p5-text-tabsxwrap              @2013.52.300    perl/p5-text-tabsxwrap
p5.28-text-tabsxwrap           @2013.52.300    perl/p5-text-tabsxwrap
p5.30-text-tabsxwrap           @2013.52.300    perl/p5-text-tabsxwrap
p5.32-text-tabsxwrap           @2013.52.300    perl/p5-text-tabsxwrap
p5-text-tabulardisplay         @1.380.0        perl/p5-text-tabulardisplay
